Date,Close,High,Low,Open,Volume,MA10,MA50,RSI,Return_1d,Return_5d,Volatility
,XLK,XLK,XLK,XLK,XLK,,,,,,
2013-03-14,25.857460021972656,25.874442343972586,25.755557991583963,25.755557991583963,5756100,25.611194229125978,25.20341850280762,68.81191366528898,0.007277688133874083,0.007277688133874083,0.2083532340338037
2013-03-15,25.750022888183594,25.877920024368876,25.681810973798086,25.86086663919742,9855100,25.665837860107423,25.212139282226563,80.50848339616849,-0.004154976308491487,0.0011055562637225513,0.15418955388416206
2013-03-18,25.758546829223633,25.86939220169557,25.511279260240517,25.545384402793246,6172400,25.713691329956056,25.22425754547119,78.51825619173519,0.0003310265422695746,-0.0008721073251318767,0.07513223933545596
2013-03-19,25.724445343017578,25.87792257207,25.511282886289326,25.826764037819352,7275800,25.72331771850586,25.23773162841797,72.23589867541665,-0.001323890141479822,0.001433576945629511,0.06886437349823629
2013-03-20,25.852338790893555,25.912024010025128,25.77560018735289,25.869392175302647,7306900,25.747432518005372,25.25444320678711,78.11955386503905,0.004971669793871314,0.007078190511239146,0.06744501648123438
2013-03-21,25.562435150146484,25.664753819849775,25.502749937111265,25.59654191548094,5796800,25.73661231994629,25.267224655151367,62.15198834277211,-0.01121382645848612,-0.01140966172143243,0.08698352333253274
2013-03-22,25.724445343017578,25.75855049041785,25.60507488766591,25.630653341640993,3409200,25.73689823150635,25.282397193908693,64.22563105705491,0.006337823134591414,-0.000993301841986094,0.0869333297538052
2013-03-25,25.66475486755371,25.877917280695684,25.570962885355193,25.835283822287202,4575100,25.725270652770995,25.29382827758789,51.435819791325024,-0.0023203794938213562,-0.0036411977077648316,0.088142323478347
2013-03-26,25.826763153076172,25.835288219908836,25.7329711549126,25.79265638054381,4224800,25.739184951782228,25.307820205688476,57.597933764292094,0.006312481313713203,0.003977454467696262,0.09241735873452567
2013-03-27,25.758546829223633,25.775600213650122,25.605071248285967,25.647703083051944,7230400,25.74797592163086,25.323674774169923,53.07937559963975,-0.0026413036526574674,-0.003627987488039608,0.08930097721155478
2013-03-28,25.80971336364746,25.835291820310914,25.656236118464122,25.698867963770315,7415900,25.74320125579834,25.343779525756837,53.08652201795639,0.0019863905663257686,0.009673499885614723,0.08391050123622204
2013-04-01,25.639177322387695,25.835286371516826,25.570965408503636,25.835286371516826,4630000,25.73211669921875,25.35877513885498,45.39049290711569,-0.006607436466147032,-0.003314668965371026,0.09000896255842014
2013-04-02,25.741491317749023,25.852335047758668,25.681806107259213,25.732964626779047,4217800,25.73041114807129,25.373779106140137,51.740465767471214,0.003990533474410141,0.0029899545345872802,0.08961321995785543
2013-04-03,25.536867141723633,25.80971487073705,25.494233667627316,25.767081396640737,8473700,25.711653327941896,25.385370025634767,46.145509304549506,-0.007949196629656763,-0.01122463584129052,0.10861752269317976
2013-04-04,25.54538917541504,25.596549338252718,25.42601871472823,25.536864107909313,5635700,25.680958366394044,25.39577266693115,39.97812049408972,0.0003337149245485893,-0.008275220462621857,0.10781128492228187
2013-04-05,25.349271774291992,25.391905229326298,25.127582687013653,25.195794588768525,7012500,25.659642028808594,25.396988067626953,37.82376333330629,-0.0076772132840234875,-0.01783985675733979,0.14758569582877734
2013-04-08,25.460115432739258,25.460115432739258,25.272531495701315,25.366323464220287,6323000,25.633209037780762,25.40908176422119,41.4633773738908,0.004372656517875884,-0.006983917127952655,0.15799374157054907
2013-04-09,25.639177322387695,25.70738923627175,25.40896150316638,25.51980687966567,5970100,25.63065128326416,25.424247398376465,47.74769782019671,0.007033035263390053,-0.003974672411103941,0.15763292850535404
2013-04-10,26.091073989868164,26.11665243302121,25.690327699939374,25.7073810795746,10551900,25.65708236694336,25.4467525100708,55.38441022111331,0.017625240537101128,0.02170222545580125,0.20821368371442914
2013-04-11,26.005817413330078,26.048449250372776,25.89497366123885,25.954658883618766,6243200,25.681809425354004,25.46687309265137,61.01699895545618,-0.0032676530131029446,0.018023927322201816,0.23461156172833542
2013-04-12,25.894968032836914,25.963179933059237,25.72443746913111,25.886441342021623,5749500,25.69033489227295,25.486305198669434,54.347620997429445,-0.004262483994690536,0.021527098032786185,0.24123147084184804
